state,hpop,owner_occ_rate,gap_pp,rent_to_income,rent_to_income_18_64,rent_to_income_household,rent_to_income_household_18_64,price_to_income,avg_annual_rent,avg_personal_income,avg_annual_rent_18_64,avg_renter_income_18_64,avg_adult_income,homeowner_median_income,renter_median_income,avg_property_value,avg_owner_income,pct_multifamily,pct_singlefamily,sf_detached,sf_attached,mobile,n_adults,n_occupied_units,n_adults_rental,n_rental_units
MI,61.17109887029005,73.61748859798135,-12.446389727691297,0.46074403229995353,0.4663168190760539,0.24475685296559788,0.23896141227643192,4.621156743592257,16164.83377830682,35084.19565982179,16395.677814162307,35159.95379846734,52207.88902164584,47020.0,25500.0,318605.5004448283,68944.96727180049,13.7248265574072,81.78325295542092,77.15213137701669,4.631121578404226,4.4515101511172865,7829680,4131286,1660024,1028491
MN,63.17803979385861,72.0625189077808,-8.88447911392219,0.4323467319669982,0.4274155204135251,0.23286920382071394,0.2232747749514644,5.062224312735624,18136.778526613576,41949.614014887455,18112.9381489939,42377.820373648596,61911.76471916389,57000.0,34000.0,396273.3585615797,78280.4818752557,18.9842688589198,78.59885853319527,71.69016832849393,6.9086902047013385,2.3637545285907717,4371393,2363445,988349,634111
MS,57.48303993432654,70.85461129425242,-13.37157135992588,0.43918506616576874,0.4424266431936874,0.22528127142555865,0.22277679593429353,4.174273246919322,13360.438835354355,30420.977088304517,13623.191556539883,30791.978209539848,43278.13324952515,40000.0,22000.0,242907.9635126034,58191.67772303196,10.278787357171666,75.9331023877551,74.55296831601852,1.3801340717365738,13.658598221075074,2184353,1176687,491583,303644
MO,59.23579825503402,68.77311759705343,-9.537319342019408,0.4094800872378698,0.4090884842849207,0.2198470433870282,0.21427461906494416,4.527641700191484,14897.139734316135,36380.62069099415,15071.810242154164,36842.4211903677,52376.47827504292,48000.0,29800.0,310811.880112638,68647.63174601317,14.356101244533784,80.80052191834646,76.86217775937318,3.938344158973278,4.680764534123272,4721045,2563253,1184641,751961
MT,58.8257849127079,68.9693700224954,-10.143585109787495,0.42094848730229484,0.41998278721021803,0.22414856515473497,0.21936166455732117,8.186799886223948,17279.073064106447,41047.9514366276,17497.85028705554,41663.25578075935,53858.46121507446,46220.0,33000.0,561080.5449986751,68534.78194120926,13.85214910664319,76.84779493059253,71.37652475783592,5.471270172756598,9.009777559386503,879156,468985,214565,133533
NE,60.5135047419855,66.70610779198873,-6.192603050003228,0.4085822694637772,0.41254800732083147,0.23136639768864956,0.22581731983243886,4.483130862723083,15085.486049007333,36921.538638486454,15195.635010541911,36833.616308621575,54203.583480452435,50000.0,30000.0,313021.24879855564,69822.01911644053,17.41071730540032,80.23476826881061,76.33262851445555,3.9021397543550633,2.2925552998726997,1478394,824013,402552,261664
NV,46.35690225774841,59.9886514610235,-13.631749203275092,0.5713067959673656,0.574377394887916,0.26138232759420366,0.25785449965150864,7.1633404404894705,22669.84003011448,39680.67628484755,22991.40029632201,40028.38639011647,53743.49933065701,50000.0,30000.0,562876.0154382399,78577.30902424884,20.92263636660114,74.11903892798247,68.67329421661724,5.4457447113652355,4.777108980512237,2545033,1238926,903220,482648
NH,59.762449416580175,72.56779986227127,-12.805350445691097,0.464702912612591,0.4562291389054525,0.23316837240442886,0.22411990164278528,6.304605893115594,21308.183743003163,45853.346653687026,21706.017906997247,47577.00912982573,65319.0465867031,60000.0,38000.0,532197.684831687,84414.10832877405,21.464941491056535,73.95162737063637,68.82590298163112,5.125724389005263,4.541482845379485,1120427,570687,246540,149582
NJ,50.5441034314637,63.98632368464789,-13.442220253184196,0.5151191096811659,0.5144765215722659,0.2389302282893565,0.23443170148992787,6.132168924834037,24570.465236374042,47698.609456717655,25562.571346246594,49686.56542017914,68586.97914406074,66000.0,32600.0,606001.637760987,98823.37639245449,31.95386224854303,67.27936842486187,58.22894626172196,9.050422163139913,0.726195169372433,7295284,3543937,2278042,1239619
NM,56.1928740213962,71.15128346951016,-14.958409448113962,0.4190784673219324,0.42028897510675167,0.21514332268336842,0.21060329358268848,5.381132314605957,15281.393046060568,36464.27635310009,15497.988910667302,36874.60254395413,47823.837826792915,41600.0,25500.0,348754.68187820615,64810.64978305487,11.607587007948236,71.69132626688315,67.94033045688674,3.7509958099964122,16.255450349369674,1644390,856974,387924,232546
NY,43.257816456255526,54.315329321275875,-11.05751286502035,0.47273037850463306,0.46716808521055625,0.22746211674323033,0.2228917754022933,6.878166849669244,24390.565363787664,51595.08775581813,25827.0571682097,55284.29271141081,64939.495130061936,58500.0,30000.0,635774.7147445935,92433.74414145922,46.472444708580134,51.729970339841735,45.57335045506441,6.156619884777328,1.7755092548340363,15243007,7828070,6081762,3450718
NC,56.6840776488954,66.8651015611986,-10.181023912303196,0.4537407778894546,0.4498243516152741,0.23544071660324503,0.2290761338520252,5.658897519479633,17864.08675825661,39370.68835062662,17994.843136326424,40004.15511456582,54915.23083490795,48500.0,30000.0,419222.83530959167,74082.06878928274,14.464153153659526,75.32634359351025,70.47638422789383,4.8499593656164075,10.114057904382822,8415287,4496353,2319687,1405746
ND,57.29946182584755,61.13559220252615,-3.8361303766785966,0.33457055844941236,0.33363863421886375,0.19299440627461512,0.18744672157835116,4.02391478896854,14082.284032059186,42090.6253596383,14256.395039231787,42730.04855270966,60620.18213801469,55000.0,35000.0,310195.6868578403,77088.03568809008,26.42023657424971,67.97520274511872,61.61716345671283,6.358039288405888,5.59554411567062,587807,349703,194640,130098
OH,58.63415782753631,67.93334577588796,-9.299187948351644,0.42951909573127733,0.42711926104650877,0.23429780734217207,0.22725366802841263,4.250634155007544,15251.075939856677,35507.32922337474,15520.42453508846,36337.44939776539,52675.48704668782,50000.0,28000.0,297266.31864727114,69934.58100765286,16.593928080891544,80.37404647659847,75.5900890527745,4.783957423823961,2.9683593246980875,9023638,4929320,2345198,1500609
OK,54.74073984345763,65.77315833547934,-11.032418492021705,0.42094353074695384,0.41891811887841185,0.22146075838181983,0.21582755592733932,4.270279080163909,14310.134667858092,33995.37853085689,14493.001485888133,34596.26316639369,47434.1938508847,45000.0,26000.0,278053.56650205795,65113.675542579585,11.789009577684837,80.43249362397947,78.1687704913963,2.263723132583161,7.543548096131025,3021085,1603753,834854,507388
OR,53.08783458027999,63.20776026647251,-10.119925686192524,0.5065298311837488,0.5035200867374926,0.24970368778896448,0.2417095165227746,7.485207699729369,21248.337521632875,41948.83739024015,21597.27864064036,42892.58603480497,56971.27639184781,53000.0,31500.0,575476.7946523719,76881.8739222398,19.92912148352996,73.2426278782257,67.93444917638614,5.3081787018395605,6.525766304105832,3346289,1744270,1065508,616753
PA,57.98405211624239,69.38033934974285,-11.396287233500466,0.43308736518150304,0.4317789357927236,0.23400978481736917,0.22613533377963443,4.734096943859142,17302.15402748758,39950.72453853832,17607.388094160207,40778.710202326016,57067.358860138345,50000.0,30000.0,354934.68494262715,74974.10575907883,15.963451476092072,80.95114218875199,61.96206279736472,18.98907939138726,3.059432197776099,10025357,5361725,2448524,1554497
RI,51.14069759378685,63.278297993834734,-12.137600400047887,0.4778350247216593,0.48547689348860035,0.23829456027727133,0.2324366289464676,6.646533064714304,18974.242165756208,39708.77224165134,20078.32279797515,41357.937045559134,59329.7407298251,59800.0,30000.0,545325.7824816265,82046.65156586668,32.98821919486466,66.39945170077934,62.47328717171682,3.926164529062517,0.5715302795470752,865221,448318,260491,159358
SC,60.28790546624894,72.22444655381058,-11.936541087561643,0.4859272479919126,0.47601625372160355,0.24742725265726268,0.2396565288344947,6.0733445616774615,17528.037085642332,36071.31964317024,17521.715953108203,36809.070732605105,51339.692880321534,46000.0,28000.0,410984.4527541128,67670.201909407,12.449550955474056,74.94359945385798,71.16320562733421,3.780393826523781,12.450362388275845,4190119,2222890,941065,567821
SD,62.182633794789766,68.20257813399182,-6.0199443392020555,0.35811876432630674,0.3476185254080821,0.20146170540867375,0.19272882034819333,4.84075742576398,13910.885817013997,38844.33657974657,13921.766946733012,40048.978777496806,55513.798031043916,50000.0,31000.0,332305.39760369185,68647.39716868722,16.722806976000758,76.54464782562366,71.7943784705367,4.750269355086964,6.564568262274896,675688,382292,171882,112868
TN,56.41274122557134,66.79098553346316,-10.37824430789182,0.4565939525717186,0.46030085434970575,0.2379085837384831,0.23456877148312463,6.014106542041866,17194.475186196003,37658.1316711487,17521.766641111513,38065.900759331744,52266.22090212811,46200.0,30000.0,424229.15435880626,70539.01546193345,14.71964293858982,77.49306169220024,73.57480988591428,3.918251806285972,7.57325404773236,5503143,2928759,1500435,908937
TX,50.229010960277165,62.316087029467916,-12.08707606919075,0.481606811813116,0.47810572483034125,0.24358040153157232,0.239817195459086,5.0486599734931685,19832.709071153593,41180.29185776868,19968.542134661624,41765.9548873789,55340.52117588882,50000.0,30000.0,408765.58275287773,80965.16400371736,19.625337080005966,73.88980934144605,71.11967787128533,2.7701314701607234,6.2720411829947285,23023095,11449777,7117926,4126885
UT,54.95211680807757,69.5984383996974,-14.64632159161983,0.5182923767116565,0.518077644301671,0.23863810401273305,0.23506941901685174,7.72969728509823,20826.592573557755,40183.09647094094,20938.067006843343,40414.920885201005,57485.67095473354,55000.0,32000.0,634328.2754487974,82063.79267551565,18.474881654042434,78.91799116800459,70.83466925706749,8.083321910937094,2.562708955357303,2516985,1184426,653772,349003
VT,64.31448605102193,73.70669729782733,-9.392211246805402,0.40764799524738854,0.41932497400125973,0.22702100439330558,0.22367123335116793,5.5636579664890595,18047.02526225247,44271.10024495597,18719.46126173156,44641.89452659532,62343.69820090102,52300.0,38100.0,422462.303439988,75932.47212257773,18.467101212754937,74.73326232055429,71.26992348210185,3.463338838452443,6.670640776319519,511645,285548,106958,71298
VA,54.75081332512681,67.26583310430082,-12.515019779174011,0.47112474092253415,0.4712242094911744,0.23992061881126106,0.2359032821217114,5.914281253248558,22343.31828944315,47425.48278337393,22654.283026582852,48075.380191193566,65645.66273965446,60000.0,35000.0,531154.0302373496,89808.72019665969,18.289954518734042,77.94430823383794,65.81197805097464,12.1323301828633,3.709085170386566,6704079,3449292,1848591,1074541
WA,52.895194579092795,62.769658594479935,-9.87446401538714,0.4571490309349036,0.45093475658685545,0.23214078410758612,0.22565278156129012,7.89586885350691,24745.353108943153,54129.72889461687,25096.228094385482,55653.78966203429,69880.6951592958,62000.0,39000.0,752873.251409706,95350.27308303394,22.514682584550762,71.76771949797842,67.11287882627698,4.654840671701439,5.3986846431667335,6155592,3168080,1942123,1141978
WV,63.464292849565396,75.59961935357599,-12.135326504010592,0.4165621124893276,0.4214702537057143,0.2249029349057444,0.22298807147853014,4.11205957212698,12251.471727588942,29410.912227171946,12452.12229299363,29544.486671384762,44279.926796622414,39000.0,21720.0,234150.76339554915,56942.45408862929,9.128454762408682,78.64393049240627,75.96755241897228,2.676378073433999,12.126316404054853,1370210,740845,245805,154538
WI,60.87570633422166,68.17901581535149,-7.30330948112983,0.40650734530328264,0.4026559815735053,0.22432512630087256,0.21534486022531255,5.107741722416599,16011.918791932228,39389.00238072261,16260.777410280674,40383.79697412306,54295.96430106729,50000.0,32300.0,349491.9017307637,68423.95734242616,21.74803551672293,75.89227146856717,71.5238192915422,4.368452177024984,2.297065222372306,4582630,2535195,1191655,773616
WY,65.72722360315574,71.56307308127512,-5.8358494781193855,0.36314790429906313,0.3591836689900936,0.1903684669485052,0.18330110798265897,7.29618686805561,15085.277844218974,41540.313645306895,15499.812767056646,43152.88835552303,55826.84383213792,48000.0,29900.0,499101.5706478879,68405.80972960955,12.294293224038846,76.2422595447053,71.97197843809863,4.2702811066066735,11.259856550986768,448940,256290,103684,67385
